com.samsung.shealth.tracker.pedometer_step_count,6272009,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
26262,4,0,39,2024-08-04 18:43:00.000,,,2024-08-04 18:55:00.545,2024-08-04 18:55:00.545,39,1.1666666,30.64,1.9399996,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:44:00.000,dd12535d-0006-43d3-8472-75c07dbfeee1,
12944,4,0,21,2024-08-04 18:44:00.000,,,2024-08-04 18:55:00.697,2024-08-04 18:55:00.697,21,1.3055556,16.899994,1.0299997,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:45:00.000,7fe9855c-8f7b-4e49-b23c-b480f6a2b426,
23265,4,0,40,2024-08-04 18:45:00.000,,,2024-08-04 18:56:58.377,2024-08-04 18:56:58.377,40,1.4166666,32.95999,2.1599998,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:46:00.000,af17e45d-806d-474f-a85b-2cc7d2336e7c,
11657,4,6,29,2024-08-04 18:47:00.000,,,2024-08-04 18:56:58.561,2024-08-04 18:56:58.561,35,2.6944444,31.410004,2.3900003,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:48:00.000,74a733d8-9355-4d14-9ad2-9beac83d56aa,
11030,4,9,21,2024-08-04 18:48:00.000,,,2024-08-04 18:56:58.836,2024-08-04 18:56:58.836,30,2.3888888,26.350006,2.1000004,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:49:00.000,835a41bc-6d6c-4f34-b599-405a8af35f30,
21373,4,1,37,2024-08-04 18:50:00.000,,,2024-08-04 18:56:59.124,2024-08-04 18:56:59.124,38,1.5,32.059998,2.08,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:51:00.000,526ddaf1-e5d1-4032-aa3d-69fcc29d048b,
10354,4,15,7,2024-08-04 18:51:00.000,,,2024-08-04 18:56:59.303,2024-08-04 18:56:59.303,22,1.8611112,19.269989,1.7900009,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:52:00.000,8efe18d9-8db8-4da0-b6ca-7370778028d5,
26639,4,6,38,2024-08-04 18:52:00.000,,,2024-08-04 18:56:59.471,2024-08-04 18:56:59.471,44,1.3333334,35.51999,2.7299995,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:53:00.000,88707a0c-a5db-47eb-9248-9b724ecb6eb9,
19079,4,5,32,2024-08-04 18:53:00.000,,,2024-08-04 18:56:59.565,2024-08-04 18:56:59.565,37,1.6666666,31.799988,2.209999,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:54:00.000,907c974c-6e18-44b7-befe-40f044cf2101,
8437,4,1,18,2024-08-04 18:54:00.000,,,2024-08-04 18:56:59.661,2024-08-04 18:56:59.661,19,1.9722222,16.640015,1.5,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:55:00.000,480b1152-68a2-4a07-b2f1-181452ab0ec8,
4827,4,2,7,2024-08-04 18:55:00.000,,,2024-08-04 19:06:35.937,2024-08-04 19:06:35.937,9,1.5555557,7.51001,0.8299999,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:56:00.000,f5dc4cbc-16d3-411b-a10d-8b15ed3c8673,
8235,4,9,13,2024-08-04 18:56:00.000,,,2024-08-04 19:06:36.622,2024-08-04 19:06:36.622,22,2.5000002,20.589996,1.75,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:57:00.000,912fe6fe-0cb2-4d92-b5e6-ee158d7fd556,
21718,4,5,38,2024-08-04 18:57:00.000,,,2024-08-04 19:06:37.279,2024-08-04 19:06:37.279,43,1.6944444,36.799988,2.9100018,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:58:00.000,28394897-ee50-46d6-95bc-872e3fb745c9,
24532,4,12,43,2024-08-04 18:58:00.000,,,2024-08-04 19:06:37.678,2024-08-04 19:06:37.678,55,1.9166666,47.01999,3.3600006,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 18:59:00.000,4ad3f469-7174-48c5-a51b-f25f8e7374fc,
22524,4,27,35,2024-08-04 18:59:00.000,,,2024-08-04 19:06:38.062,2024-08-04 19:06:38.062,62,2.5,56.309998,5.029999,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:00:00.000,807ff80c-68fe-40ab-9c75-9517ed89cd70,
6246,4,2,12,2024-08-04 19:00:00.000,,,2024-08-04 19:06:38.257,2024-08-04 19:06:38.257,14,1.9722222,12.320007,0.8899994,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:01:00.000,b06603f1-6e6f-424e-9527-813be9a282cf,
8422,4,0,13,2024-08-04 19:01:00.000,,,2024-08-04 19:06:38.588,2024-08-04 19:06:38.588,13,1.1944444,10.059998,0.63000107,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:02:00.000,740d98a7-8a97-4d0d-b565-497e4a926864,
20360,4,0,36,2024-08-04 19:02:00.000,,,2024-08-04 19:06:38.870,2024-08-04 19:06:38.870,36,1.4444444,29.409973,1.7599983,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:03:00.000,3221c538-02b0-49d5-9f22-bd6220580de6,
26925,4,0,48,2024-08-04 19:03:00.000,,,2024-08-04 19:06:39.237,2024-08-04 19:06:39.237,48,1.4722222,39.640015,2.2799988,UTC-0400,PZSgGx/3oA,com.sec.android.app.shealth,2024-08-04 19:04:00.000,2ed5cd36-2cbf-4d6d-9138-97409d5eef32,
44259,4,0,59,2024-08-04 19:07:00.000,,,2024-08-04 19:15:00.531,2024-08-04 19:15:00.531,59,0.97222227,43.03,2.85,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:08:00.000,039a1f2c-f659-42c7-b4c3-1a10b4f57524,
51840,4,0,77,2024-08-04 19:08:00.000,,,2024-08-04 19:15:00.565,2024-08-04 19:15:00.565,77,1.0833334,56.16,3.77,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:09:00.000,f843aacd-64f0-4e4f-a620-61f85bd64036,
50004,4,0,75,2024-08-04 19:09:00.000,,,2024-08-04 19:15:00.596,2024-08-04 19:15:00.596,75,1.1111112,55.56,3.6,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:10:00.000,a91bff0f-6a45-4768-a556-8d7349e73872,
32575,4,0,50,2024-08-04 19:10:00.000,,,2024-08-04 19:15:00.634,2024-08-04 19:15:00.634,50,1.1388888,37.1,2.44,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:11:00.000,8347fcf4-6e3d-4d8e-8d62-c5dae145b03c,
