com.samsung.shealth.stress,6272009,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62610110,2024-02-03 14:00:00.000,,6bbf30b7-8cb8-4693-b9b7-c47eaf7a7a99.binning_data.json,10011,62610110,2024-02-03 15:53:23.872,2024-02-03 14:12:57.067,0.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 14:59:59.999,6bbf30b7-8cb8-4693-b9b7-c47eaf7a7a99,
62610110,2024-02-03 15:00:00.000,,18b73836-38a9-42e7-9645-3872ae19eb16.binning_data.json,10011,62610110,2024-02-03 16:05:16.255,2024-02-03 16:05:16.255,42.0,0.0,14.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 15:59:59.999,18b73836-38a9-42e7-9645-3872ae19eb16,
62610110,2024-02-03 16:00:00.000,,65cd5536-1fba-455d-95b1-9d851c3bfc41.binning_data.json,10011,62610110,2024-02-03 17:02:35.391,2024-02-03 17:02:35.391,18.0,0.0,4.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 16:59:59.999,65cd5536-1fba-455d-95b1-9d851c3bfc41,
62610110,2024-02-03 17:00:00.000,,ac346d7b-4395-4a66-9e31-78da4b6735ed.binning_data.json,10011,62610110,2024-02-03 18:04:46.763,2024-02-03 18:04:46.763,77.0,0.0,18.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 17:59:59.999,ac346d7b-4395-4a66-9e31-78da4b6735ed,
62610110,2024-02-03 18:00:00.000,,30652140-bcc5-446f-b18c-7c3166ffdfc7.binning_data.json,10011,62610110,2024-02-03 20:24:21.773,2024-02-03 20:24:21.773,100.0,0.0,12.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 18:59:59.999,30652140-bcc5-446f-b18c-7c3166ffdfc7,
62610110,2024-02-03 19:00:00.000,,5506c7cb-ea29-42c9-8e3a-aa10e6fc7220.binning_data.json,10011,62610110,2024-02-03 20:26:12.684,2024-02-03 20:26:12.684,0.0,0.0,0.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 19:59:59.999,5506c7cb-ea29-42c9-8e3a-aa10e6fc7220,
62610110,2024-02-03 20:00:00.000,,24668fe0-b858-45df-aed5-26064d18213a.binning_data.json,10011,62610110,2024-02-03 21:14:16.101,2024-02-03 21:14:16.101,97.0,0.0,25.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 20:59:59.999,24668fe0-b858-45df-aed5-26064d18213a,
62610110,2024-02-03 21:00:00.000,,774a0fd6-2fb5-42a2-a78f-a63122df8f0f.binning_data.json,10011,62610110,2024-02-03 23:44:46.568,2024-02-03 23:44:46.568,100.0,0.0,49.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 21:59:59.999,774a0fd6-2fb5-42a2-a78f-a63122df8f0f,
62610110,2024-02-03 22:00:00.000,,cf6a72f3-9539-43e5-9f59-67690f09659f.binning_data.json,10011,62610110,2024-02-03 23:44:47.910,2024-02-03 23:44:47.910,13.0,13.0,13.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 22:59:59.999,cf6a72f3-9539-43e5-9f59-67690f09659f,
62610110,2024-02-03 23:00:00.000,,a13403cd-196d-4d03-9ccb-bef08760acdb.binning_data.json,10011,62610110,2024-02-04 00:39:18.772,2024-02-03 23:45:54.067,91.0,0.0,29.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 23:59:59.999,a13403cd-196d-4d03-9ccb-bef08760acdb,
