com.samsung.shealth.tracker.heart_rate,6272009,3
source,tag_id,com.samsung.health.heart_rate.create_sh_ver,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.modify_sh_ver,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,20000,,0,2023-02-03 04:59:08.213,,,,2023-02-03 04:59:13.671,2023-02-03 04:59:13.671,90.0,90.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-03 04:59:10.892,c00497c5-8183-4f45-970c-22864fa4ff3f,90.0,
,20000,,0,2023-02-03 04:59:52.676,,,,2023-02-03 04:59:58.013,2023-02-03 04:59:58.013,97.0,97.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-02-03 04:59:55.154,6e731954-5414-4461-b90d-77d5842e204d,97.0,
,20000,,0,2023-09-25 12:53:44.212,,,,2023-09-25 12:53:49.280,2023-09-25 12:53:49.280,114.0,114.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2023-09-25 12:53:46.364,767fb94f-de83-4fcd-8c1f-781b00c8e250,114.0,
,20000,,0,2023-09-25 12:53:58.669,,,,2023-09-25 12:55:40.854,2023-09-25 12:55:40.854,117.0,117.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2023-09-25 12:54:00.689,4b7cf9c3-e98b-4577-a9c9-8f7700dc00bc,117.0,
,20000,,0,2023-09-25 12:57:27.255,,,,2023-09-25 12:57:32.627,2023-09-25 12:57:32.627,120.0,120.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2023-09-25 12:57:29.795,edc8048d-b872-462f-9033-814c55b444a6,120.0,
,20000,,0,2023-09-25 13:04:28.062,,,,2023-09-25 13:04:32.012,2023-09-25 13:04:32.012,136.0,136.0,UTC-0400,5vLahzXBCy,,com.sec.android.app.shealth,2023-09-25 13:04:30.160,2c606514-d043-4ebc-80be-c5535b848ca7,136.0,
,21301,,0,2023-11-21 23:33:26.793,,,,2023-11-21 23:33:43.292,2023-11-21 23:33:43.292,84.0,84.0,UTC-0500,5vLahzXBCy,,com.sec.android.app.shealth,2023-11-21 23:33:29.583,90446d09-26f9-49c8-81a4-aa9064b16223,84.0,
,21312,62600630,1,2023-12-30 00:50:29.290,,,62600630,2023-12-30 00:50:28.983,2023-12-30 00:50:28.983,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 00:50:29.290,764e2599-7078-41ff-a61f-7878c8694283,112.0,
,20000,62600630,1,2023-12-30 00:56:09.103,,,62600630,2023-12-30 00:56:09.740,2023-12-30 00:56:09.740,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 00:56:09.103,4186212f-c38a-4d3c-94d7-00874ad4e46c,104.0,
,21312,62600630,1,2023-12-30 01:00:29.313,,,62600630,2023-12-30 01:00:31.310,2023-12-30 01:00:31.310,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 01:00:29.313,ac79ab42-55d4-48a7-a731-6c9da4b19ff7,107.0,
,21312,62600630,1,2023-12-30 02:00:29.317,,,62600630,2023-12-30 02:01:08.323,2023-12-30 02:01:08.323,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 02:00:29.317,a82cab5b-b034-4c61-a8af-74146acfb44f,104.0,
,21313,62600630,1,2023-12-30 03:00:00.000,,02dfba9f-8dba-47dc-9c0e-bb2e280fcf9e.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 04:01:14.743,2023-12-30 03:01:32.410,108.0,90.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 03:59:59.999,02dfba9f-8dba-47dc-9c0e-bb2e280fcf9e,99.0,
,21312,62600630,1,2023-12-30 03:10:58.571,,,62600630,2023-12-30 03:10:58.945,2023-12-30 03:10:58.945,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 03:10:58.571,8ec1c3ad-4844-4791-b306-7c72cf4a8af4,106.0,
,21312,62600630,1,2023-12-30 03:20:29.228,,,62600630,2023-12-30 03:20:29.368,2023-12-30 03:20:29.368,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 03:20:29.228,71d12298-4b81-4d8b-8c50-a85b49edf3f4,106.0,
,21312,62600630,1,2023-12-30 03:30:29.243,,,62600630,2023-12-30 03:32:01.901,2023-12-30 03:32:01.901,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 03:30:29.243,9863cbed-68f0-4c66-a463-49f926ba32dd,108.0,
,20000,62600630,1,2023-12-30 03:34:45.632,,,62600630,2023-12-30 03:34:46.385,2023-12-30 03:34:46.385,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 03:34:45.632,b098af80-6654-490b-9d5c-a3e8521c5617,112.0,
