com.samsung.shealth.step_daily_trend,6272009,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
edc00c22-3f4c-4edd-a8e9-5dcb49ad4efa.binning_data.json,2020-12-25 05:00:00.999,2020-12-23 05:02:51.273,com.sec.android.app.shealth,-2,3282,1.2512186,2449.0598,121.34999,VfS0qUERdZ,com.sec.android.app.shealth,edc00c22-3f4c-4edd-a8e9-5dcb49ad4efa,1608681600000,
573baaaf-3244-4820-8531-420d0c39e844.binning_data.json,2020-12-24 05:10:35.522,2020-12-24 05:00:01.289,com.sec.android.app.shealth,0,3282,1.2512186,2449.0598,121.34999,5vLahzXBCy,com.sec.android.app.shealth,573baaaf-3244-4820-8531-420d0c39e844,1608681600000,
4a5a5f62-5dd3-4859-b629-8b2240586111.binning_data.json,2020-12-25 04:34:44.275,2020-12-24 08:26:27.173,com.sec.android.app.shealth,-2,237,1.2580912,177.01,8.639999,VfS0qUERdZ,com.sec.android.app.shealth,4a5a5f62-5dd3-4859-b629-8b2240586111,1608768000000,
afd92981-7030-48cd-bde6-b30cf956fec7.binning_data.json,2020-12-25 05:00:00.579,2020-12-25 05:00:00.579,com.sec.android.app.shealth,0,237,1.2580912,177.01,8.639999,5vLahzXBCy,com.sec.android.app.shealth,afd92981-7030-48cd-bde6-b30cf956fec7,1608768000000,
a070b5b3-a322-4286-907b-e6d4ae63e75b.binning_data.json,2020-12-26 04:35:26.551,2020-12-25 07:48:15.137,com.sec.android.app.shealth,-2,555,1.2358993,408.77,20.39,VfS0qUERdZ,com.sec.android.app.shealth,a070b5b3-a322-4286-907b-e6d4ae63e75b,1608854400000,
98753c95-b109-468d-8d0b-a3725b6c7eeb.binning_data.json,2020-12-26 05:00:01.024,2020-12-26 05:00:01.024,com.sec.android.app.shealth,0,555,1.2358993,408.77,20.39,5vLahzXBCy,com.sec.android.app.shealth,98753c95-b109-468d-8d0b-a3725b6c7eeb,1608854400000,
91ee8815-19a1-4daa-82bd-eff1f696ddab.binning_data.json,2020-12-27 18:47:19.981,2020-12-26 06:59:06.160,com.sec.android.app.shealth,-2,529,1.2314992,389.93,19.99,VfS0qUERdZ,com.sec.android.app.shealth,91ee8815-19a1-4daa-82bd-eff1f696ddab,1608940800000,
1f8cc3bb-93c8-4234-b05e-549cc593e220.binning_data.json,2020-12-27 18:47:19.185,2020-12-27 18:47:19.185,com.sec.android.app.shealth,0,529,1.2314992,389.93,19.99,5vLahzXBCy,com.sec.android.app.shealth,1f8cc3bb-93c8-4234-b05e-549cc593e220,1608940800000,
cddd0896-9417-4f77-b6b3-95345b49530e.binning_data.json,2020-12-28 00:12:53.800,2020-12-27 18:47:44.161,com.sec.android.app.shealth,-2,65,1.116031,47.46,2.36,VfS0qUERdZ,com.sec.android.app.shealth,cddd0896-9417-4f77-b6b3-95345b49530e,1609027200000,
da71538b-b784-4403-a67d-6f260043a7a5.binning_data.json,2020-12-28 19:04:36.256,2020-12-28 19:04:36.256,com.sec.android.app.shealth,0,65,1.116031,47.46,2.36,5vLahzXBCy,com.sec.android.app.shealth,da71538b-b784-4403-a67d-6f260043a7a5,1609027200000,
bc9f6f25-7aa8-4ca6-8e89-2c3488161161.binning_data.json,2020-12-29 00:59:59.816,2020-12-28 20:00:15.835,com.sec.android.app.shealth,-2,224,1.4373796,176.20001,8.63,VfS0qUERdZ,com.sec.android.app.shealth,bc9f6f25-7aa8-4ca6-8e89-2c3488161161,1609113600000,
127c9433-2f1e-47fb-bc6e-bea18add7ada.binning_data.json,2020-12-29 16:27:34.339,2020-12-29 16:27:34.339,com.sec.android.app.shealth,0,224,1.4373796,176.20001,8.63,5vLahzXBCy,com.sec.android.app.shealth,127c9433-2f1e-47fb-bc6e-bea18add7ada,1609113600000,
365af1dd-43b9-459a-b576-ae8fcf96fd58.binning_data.json,2020-12-30 03:35:09.009,2020-12-29 16:35:45.710,com.sec.android.app.shealth,-2,1048,1.2545569,779.76,39.05,VfS0qUERdZ,com.sec.android.app.shealth,365af1dd-43b9-459a-b576-ae8fcf96fd58,1609200000000,
f37a5ce3-c2de-49ca-b615-004884786006.binning_data.json,2020-12-30 05:00:00.664,2020-12-30 05:00:00.664,com.sec.android.app.shealth,0,1048,1.2545569,779.76,39.05,5vLahzXBCy,com.sec.android.app.shealth,f37a5ce3-c2de-49ca-b615-004884786006,1609200000000,
602161a6-4c90-4a5f-bc67-50954c8276bd.binning_data.json,2020-12-31 03:36:37.669,2020-12-30 18:42:36.248,com.sec.android.app.shealth,-2,388,1.2471285,288.2,14.08,VfS0qUERdZ,com.sec.android.app.shealth,602161a6-4c90-4a5f-bc67-50954c8276bd,1609286400000,
ec3415e7-838f-4cf4-b7ba-ce0f286ccc12.binning_data.json,2020-12-31 05:06:40.068,2020-12-31 05:06:40.068,com.sec.android.app.shealth,0,388,1.2471285,288.2,14.08,5vLahzXBCy,com.sec.android.app.shealth,ec3415e7-838f-4cf4-b7ba-ce0f286ccc12,1609286400000,
39cbbab4-7d13-4c46-9df1-aa2d3d9d1ac1.binning_data.json,2021-01-01 01:14:54.720,2020-12-31 05:06:56.072,com.sec.android.app.shealth,-2,618,1.2035009,454.32,22.66,VfS0qUERdZ,com.sec.android.app.shealth,39cbbab4-7d13-4c46-9df1-aa2d3d9d1ac1,1609372800000,
ee8ceafe-0eeb-4e1c-b49a-d80264285004.binning_data.json,2021-01-01 05:01:08.751,2021-01-01 05:01:08.751,com.sec.android.app.shealth,0,618,1.2035009,454.32,22.66,5vLahzXBCy,com.sec.android.app.shealth,ee8ceafe-0eeb-4e1c-b49a-d80264285004,1609372800000,
743918db-51d7-4d86-876f-5d5c6705e537.binning_data.json,2021-01-02 03:02:09.159,2021-01-01 05:06:54.343,com.sec.android.app.shealth,-2,1054,1.1637852,771.67,38.45,VfS0qUERdZ,com.sec.android.app.shealth,743918db-51d7-4d86-876f-5d5c6705e537,1609459200000,
b18b5b3f-2caf-4265-9392-0b680723db1c.binning_data.json,2021-01-02 05:00:02.989,2021-01-02 05:00:02.989,com.sec.android.app.shealth,0,1054,1.1637852,771.67,38.45,5vLahzXBCy,com.sec.android.app.shealth,b18b5b3f-2caf-4265-9392-0b680723db1c,1609459200000,
a39c57bb-6fd5-4ee5-bf72-0e4b761ce721.binning_data.json,2021-01-03 03:51:36.951,2021-01-02 06:24:01.239,com.sec.android.app.shealth,-2,578,1.2041403,429.23,20.73,VfS0qUERdZ,com.sec.android.app.shealth,a39c57bb-6fd5-4ee5-bf72-0e4b761ce721,1609545600000,
0a7e9296-73d1-4b3e-a586-a0f6d75592fb.binning_data.json,2021-01-03 05:00:01.333,2021-01-03 05:00:01.333,com.sec.android.app.shealth,0,578,1.2041403,429.23,20.73,5vLahzXBCy,com.sec.android.app.shealth,0a7e9296-73d1-4b3e-a586-a0f6d75592fb,1609545600000,
b6a28dbb-7789-41d2-939f-0957978a3d8f.binning_data.json,2021-01-04 04:48:31.992,2021-01-03 05:57:17.082,com.sec.android.app.shealth,-2,1641,1.2318822,1213.13,61.88,VfS0qUERdZ,com.sec.android.app.shealth,b6a28dbb-7789-41d2-939f-0957978a3d8f,1609632000000,
f74cb7b0-3dd8-48f3-b577-73924ff6d0b0.binning_data.json,2021-01-04 05:00:00.959,2021-01-04 05:00:00.959,com.sec.android.app.shealth,0,1641,1.2318822,1213.13,61.88,5vLahzXBCy,com.sec.android.app.shealth,f74cb7b0-3dd8-48f3-b577-73924ff6d0b0,1609632000000,
4ce95908-b871-4b9d-b4fd-eb00920a1c16.binning_data.json,2021-01-05 02:58:35.641,2021-01-04 05:06:26.463,com.sec.android.app.shealth,-2,1105,1.2639456,825.44,41.35,VfS0qUERdZ,com.sec.android.app.shealth,4ce95908-b871-4b9d-b4fd-eb00920a1c16,1609718400000,
5cc971a6-eccf-42e9-94d4-265d96830c34.binning_data.json,2021-01-05 05:00:01.168,2021-01-05 05:00:01.168,com.sec.android.app.shealth,0,1105,1.2639456,825.44,41.35,5vLahzXBCy,com.sec.android.app.shealth,5cc971a6-eccf-42e9-94d4-265d96830c34,1609718400000,
f1310c37-b668-438d-83de-00a1ab97790a.binning_data.json,2021-01-06 04:36:31.985,2021-01-05 09:34:49.975,com.sec.android.app.shealth,-2,708,1.2017123,524.52,26.019999,VfS0qUERdZ,com.sec.android.app.shealth,f1310c37-b668-438d-83de-00a1ab97790a,1609804800000,
d6c41f9f-dbfa-4083-bf61-07a2787c5512.binning_data.json,2021-01-06 05:00:01.053,2021-01-06 05:00:01.053,com.sec.android.app.shealth,0,708,1.2017123,524.52,26.019999,5vLahzXBCy,com.sec.android.app.shealth,d6c41f9f-dbfa-4083-bf61-07a2787c5512,1609804800000,
00ecf615-6406-4f59-8c69-e221cd8850a1.binning_data.json,2021-01-07 04:14:07.337,2021-01-06 12:56:11.613,com.sec.android.app.shealth,-2,848,1.1654844,620.98,31.63,VfS0qUERdZ,com.sec.android.app.shealth,00ecf615-6406-4f59-8c69-e221cd8850a1,1609891200000,
1229a03c-3f3a-4036-be14-b646453921c2.binning_data.json,2021-01-07 05:00:01.935,2021-01-07 05:00:01.935,com.sec.android.app.shealth,0,848,1.1654844,620.98,31.63,5vLahzXBCy,com.sec.android.app.shealth,1229a03c-3f3a-4036-be14-b646453921c2,1609891200000,
ecf7c2ed-672d-442b-860c-3aa389ec2bff.binning_data.json,2021-01-08 03:56:31.378,2021-01-07 12:58:03.583,com.sec.android.app.shealth,-2,991,1.3137981,740.64,36.22,VfS0qUERdZ,com.sec.android.app.shealth,ecf7c2ed-672d-442b-860c-3aa389ec2bff,1609977600000,
6ddb2b77-d749-417a-ab51-2fa2538b8d11.binning_data.json,2021-01-08 05:11:50.442,2021-01-08 05:11:50.442,com.sec.android.app.shealth,0,991,1.3137981,740.64,36.22,5vLahzXBCy,com.sec.android.app.shealth,6ddb2b77-d749-417a-ab51-2fa2538b8d11,1609977600000,
72163399-4862-435a-bf3a-a890a399d5d6.binning_data.json,2021-01-08 21:00:07.718,2021-01-08 05:15:22.834,com.sec.android.app.shealth,-2,3397,1.3122296,2559.97,126.479996,VfS0qUERdZ,com.sec.android.app.shealth,72163399-4862-435a-bf3a-a890a399d5d6,1610064000000,
1044239b-45ef-44ce-a972-75630315d2a4.binning_data.json,2021-01-09 05:00:01.383,2021-01-09 05:00:01.383,com.sec.android.app.shealth,0,3397,1.3122296,2559.97,126.479996,5vLahzXBCy,com.sec.android.app.shealth,1044239b-45ef-44ce-a972-75630315d2a4,1610064000000,
