com.samsung.shealth.rewards,6272009,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-10-07 04:00:00.000,,10009,,2021-10-13 06:34:12.419,2021-10-07 19:13:13.602,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7346}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-07 04:00:00.000,c28732c9-d229-4897-a571-f58f0be79593,1,
,2021-10-08 04:00:00.000,,10009,,2021-10-14 04:00:29.812,2021-10-08 19:12:59.424,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8460}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-08 04:00:00.000,5ae06ff1-3c0d-4be4-9956-6ccdf64af176,1,
,2021-10-12 04:00:00.000,,10009,,2021-10-18 04:00:36.161,2021-10-12 18:55:02.498,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8605}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-12 04:00:00.000,9fad5943-70a3-4ff1-9092-0bb5bb24d7aa,1,
,2021-10-13 04:00:00.000,,10009,,2021-10-19 04:00:02.702,2021-10-13 18:55:46.033,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8477}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-13 04:00:00.000,9c1770be-96b2-445e-9592-1a48b5d7bec2,1,
,2021-10-14 04:00:00.000,,10009,,2021-10-20 04:00:23.399,2021-10-14 18:15:08.371,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7891}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-14 04:00:00.000,40b3f9d8-c11d-4b6f-8970-05b81289eb35,1,
,2021-10-18 04:00:00.000,,10009,,2021-10-24 04:00:03.149,2021-10-18 18:46:26.292,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8727}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-18 04:00:00.000,a07e46e2-9318-4c85-894b-c3db5630581e,1,
,2021-10-19 04:00:00.000,,10009,,2021-10-25 04:00:49.473,2021-10-19 15:31:20.136,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":10113}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-19 04:00:00.000,a84226ea-027f-4540-a836-2987cc2bf34e,1,
,2021-10-20 04:00:00.000,,10009,,2021-10-26 04:00:04.090,2021-10-20 18:44:37.989,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8497}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-20 04:00:00.000,b4939d6b-2fae-410a-9ed0-941a94412b80,1,
,2021-10-25 04:00:00.000,,10009,,2021-10-31 04:23:56.972,2021-10-26 02:55:01.930,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6022}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-25 04:00:00.000,5e94a9dc-8e21-47aa-a753-fa7824503700,1,
,2021-10-26 04:00:00.000,,10009,,2021-11-01 04:00:03.492,2021-10-26 18:26:42.097,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9525}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-26 04:00:00.000,25fafc9a-c69c-48f9-ab5a-d5dd0006147f,1,
