com.samsung.shealth.report,6272009,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Toronto,1626580800000,2021-07-25 18:17:24.851,2021-07-25 18:17:24.219,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,b858cd1f-b0bd-41e8-bf2a-c34e63a5a9a0,b858cd1f-b0bd-41e8-bf2a-c34e63a5a9a0.compressed_content.json,
America/Toronto,1627185600000,2021-08-01 19:15:07.761,2021-08-01 19:15:05.253,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,47b75a13-88b7-498d-8dfe-24ab060d05f1,47b75a13-88b7-498d-8dfe-24ab060d05f1.compressed_content.json,
America/Toronto,1627790400000,2021-08-08 19:42:47.721,2021-08-08 19:42:46.454,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,23c7c1c1-d82e-48e1-a8b8-bf746bdf809e,23c7c1c1-d82e-48e1-a8b8-bf746bdf809e.compressed_content.json,
America/Toronto,1628395200000,2021-08-15 17:47:15.160,2021-08-15 17:47:13.906,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,da180821-3091-4e06-b941-dfca49042568,da180821-3091-4e06-b941-dfca49042568.compressed_content.json,
America/Toronto,1629000000000,2021-08-22 19:03:58.897,2021-08-22 19:03:57.568,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,eff523e5-491e-4e75-a6da-5a453d94b8c8,eff523e5-491e-4e75-a6da-5a453d94b8c8.compressed_content.json,
America/Toronto,1629604800000,2021-08-29 18:54:13.396,2021-08-29 18:54:12.100,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,3593bbb3-5fc5-4b10-9b5e-90be95d5f2e1,3593bbb3-5fc5-4b10-9b5e-90be95d5f2e1.compressed_content.json,
America/Toronto,1630209600000,2021-09-05 19:06:04.036,2021-09-05 19:06:02.432,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,3b2447d7-985b-4a9e-a8ad-09af49439120,3b2447d7-985b-4a9e-a8ad-09af49439120.compressed_content.json,
America/Toronto,1630814400000,2021-09-13 17:58:21.984,2021-09-13 17:57:58.849,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,ae0330a2-cdff-4e72-81cb-6ff22f5ea940,ae0330a2-cdff-4e72-81cb-6ff22f5ea940.compressed_content.json,
America/Toronto,1631419200000,2021-09-19 17:46:01.054,2021-09-19 17:45:59.744,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,084246a5-8bde-45cc-ba6e-739c8ef1d540,084246a5-8bde-45cc-ba6e-739c8ef1d540.compressed_content.json,
America/Toronto,1632024000000,2021-09-26 18:02:05.270,2021-09-26 18:02:03.954,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,894f55b5-3c77-4dbf-9887-0e24690e1429,894f55b5-3c77-4dbf-9887-0e24690e1429.compressed_content.json,
America/Toronto,1632628800000,2021-10-04 18:00:52.980,2021-10-03 18:13:06.004,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,afdd3032-79d2-445f-8fed-2776cc3c4bf0,afdd3032-79d2-445f-8fed-2776cc3c4bf0.compressed_content.json,
