com.samsung.shealth.sleep,6272009,8
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,integrated_id,has_sleep_data,bedtime_detection_delay,wakeup_time_detection_delay,total_rem_duration,combined_id,sleep_type,sleep_latency,data_version,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,70.0,0,21,0,0,10,72,0,0,4,0,,0,,,,,-1,,7,36.0,2024-02-03 15:44:00.000,19.0,,2024-02-03 14:20:00.000,,,72e3ec6e-4d14-4e7b-817d-dd1100ee724d.extra_data.json,,0,,86.0,40,72,,62610110,2024-02-03 14:20:00.000,,62610110,2024-02-03 15:52:09.444,2024-02-03 15:52:03.281,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-03 15:32:00.000,72e3ec6e-4d14-4e7b-817d-dd1100ee724d,
,70.0,0,11,0,0,9,104,0,0,8,0,,0,,,,,-1,,7,21.0,,16.0,,,,,6899a88f-e870-451c-b425-6747f6804d04.extra_data.json,,0,,91.0,39,104,,62620030,2024-02-12 10:19:00.000,,62620030,2024-02-12 12:08:53.406,2024-02-12 12:08:49.131,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-12 12:03:00.000,6899a88f-e870-451c-b425-6747f6804d04,
,70.0,0,1,0,0,8,52,0,0,6,0,,0,,,,,-1,,7,7.0,2024-02-12 22:07:00.000,27.0,,2024-02-12 21:06:00.000,,,5467e738-2c23-4555-9bec-d0bf1d40fac9.extra_data.json,,0,,84.0,34,52,,62620030,2024-02-12 21:06:00.000,,62620030,2024-02-12 22:18:56.395,2024-02-12 22:18:52.242,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-12 21:58:00.000,5467e738-2c23-4555-9bec-d0bf1d40fac9,
,68.0,33,52,3,2,22,203,78,1,12,6,,0,,,,7431006d-f96d-470b-866d-5dacd854fa7d,-1,,7,63.0,2024-02-21 10:50:00.000,21.0,,2024-02-21 06:57:00.000,,,6323f946-12a7-4de9-9229-b7856d296df5.extra_data.json,,2,,88.0,58,209,,62620030,2024-02-21 06:57:00.000,,62620030,2024-02-25 15:38:02.922,2024-02-21 11:14:01.886,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-21 10:26:00.000,6323f946-12a7-4de9-9229-b7856d296df5,
,70.0,0,16,0,0,0,28,0,0,0,0,,0,,,,7431006d-f96d-470b-866d-5dacd854fa7d,-1,,7,60.0,,0.0,,,,,91be6a91-0d09-42bd-a558-45b191774b0c.extra_data.json,,0,,100.0,47,28,,62620030,2024-02-21 11:15:00.000,,62620030,2024-02-25 15:38:02.984,2024-02-21 11:53:16.577,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-21 11:43:00.000,91be6a91-0d09-42bd-a558-45b191774b0c,
,75.0,7,13,7,0,15,188,111,0,3,0,,0,,,,,-1,,7,28.0,2024-03-09 01:57:00.000,16.0,,2024-03-08 22:43:00.000,,,f872b03e-f102-460a-b56b-4c8b3537692d.extra_data.json,,1,,92.0,57,188,,62620030,2024-03-08 22:43:00.000,,62620030,2024-03-09 02:04:43.996,2024-03-09 02:04:37.127,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-03-09 01:51:00.000,f872b03e-f102-460a-b56b-4c8b3537692d,
,67.0,13,15,2,3,15,203,57,1,3,0,,0,,,,,-1,,7,37.0,2024-03-28 01:41:00.000,12.0,,2024-03-27 22:04:00.000,,,0cd2e6d3-b6d0-42bc-a219-666b1925170f.extra_data.json,,2,,92.0,56,203,,62650131,2024-03-27 22:04:00.000,,62650170,2024-03-28 01:54:36.295,2024-03-28 01:54:27.748,UTC-0400,PZSgGx/3oA,,com.sec.android.app.shealth,2024-03-28 01:27:00.000,0cd2e6d3-b6d0-42bc-a219-666b1925170f,
,70.0,0,24,0,0,15,110,0,0,12,0,,0,,,,,-1,,7,33.0,2024-04-05 20:23:00.000,25.0,,2024-04-05 18:24:00.000,,,9765db95-70b7-4b7d-8a82-b0ab4f66a334.extra_data.json,,0,,86.0,40,110,,62650131,2024-04-05 18:24:00.000,,62660010,2024-04-05 21:31:30.596,2024-04-05 20:53:41.467,UTC-0400,PZSgGx/3oA,,com.sec.android.app.shealth,2024-04-05 20:14:00.000,9765db95-70b7-4b7d-8a82-b0ab4f66a334,
,75.0,16,17,14,0,18,168,114,0,11,0,,0,,,,,-1,,7,33.0,2024-04-15 11:06:00.000,30.0,,2024-04-15 07:58:00.000,,,d1e4b490-0221-43da-8920-c1d751445ac9.extra_data.json,,1,,89.0,52,168,,62650131,2024-04-15 07:58:00.000,,62660010,2024-04-15 11:11:43.734,2024-04-15 11:11:28.040,UTC-0400,PZSgGx/3oA,,com.sec.android.app.shealth,2024-04-15 10:46:00.000,d1e4b490-0221-43da-8920-c1d751445ac9,
,70.0,0,18,0,0,3,50,0,0,0,0,,0,,,,,-1,,7,41.0,2024-05-09 10:32:00.000,6.0,,2024-05-09 09:28:00.000,,,7ab813a1-5b6e-4107-bc96-9ea1f110f6ec.extra_data.json,,0,,94.0,45,50,,62660011,2024-05-09 09:28:00.000,,62660010,2024-05-09 10:46:00.314,2024-05-09 10:45:12.563,UTC-0400,PZSgGx/3oA,,com.sec.android.app.shealth,2024-05-09 10:18:00.000,7ab813a1-5b6e-4107-bc96-9ea1f110f6ec,
,63.0,30,30,1,7,10,106,69,1,4,0,,0,,,,,-1,,7,56.0,2024-06-06 10:25:00.000,15.0,,2024-06-06 08:34:00.000,,,8c2a62af-80e2-406d-bd67-a011ca9bc0fc.extra_data.json,,2,,90.0,60,106,,62670031,2024-06-06 08:34:00.000,,62670070,2024-06-06 10:57:06.576,2024-06-06 10:55:41.096,UTC-0400,PZSgGx/3oA,,com.sec.android.app.shealth,2024-06-06 10:20:00.000,8c2a62af-80e2-406d-bd67-a011ca9bc0fc,
,59.0,7,21,3,11,27,244,39,1,19,1,,0,,,,,-1,,7,40.0,2024-06-20 10:08:00.000,27.0,,2024-06-20 05:56:00.000,,,b7091af1-041c-4a54-8d96-c980d779a799.extra_data.json,,2,,88.0,52,245,,62670031,2024-06-20 05:56:00.000,,62670070,2024-06-20 10:39:07.356,2024-06-20 10:38:04.312,UTC-0400,PZSgGx/3oA,,com.sec.android.app.shealth,2024-06-20 10:01:00.000,b7091af1-041c-4a54-8d96-c980d779a799,
