com.samsung.shealth.activity.day_summary,6272009,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,0,,0,,0,,2020-12-08 18:26:49.211,,2020-12-08 18:26:49.211,,,,-1,0,0,,,,0.0,,0.0,6976b642-7f84-4eda-89f7-01cba064cb7b.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,0,-1,6976b642-7f84-4eda-89f7-01cba064cb7b,2020-12-07 00:00:00.000,
,,,,1535,,966363,,0,,2020-12-10 01:50:27.119,,2020-12-09 05:17:45.070,,,,60,120000,26,,,,1163.5701,,54.579994,e332f393-811f-44c8-8c2c-c7d66e682c91.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,966363,24120000,e332f393-811f-44c8-8c2c-c7d66e682c91,2020-12-09 00:00:00.000,
,,,,1733,,1152546,,0,,2020-12-11 04:20:10.082,,2020-12-10 05:00:01.611,,,,60,120000,31,,,,1297.71,,63.409992,0f62d49e-3161-4f7c-9c2c-fe443575b704.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,1152546,34980000,0f62d49e-3161-4f7c-9c2c-fe443575b704,2020-12-10 00:00:00.000,
,,,,899,,599633,,0,,2020-12-12 05:00:01.207,,2020-12-11 05:00:00.466,,,,60,42021,15,,,,670.47003,,32.130005,0f4d0fae-952e-4e14-9a2c-7453249925ec.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,599633,34980000,0f4d0fae-952e-4e14-9a2c-7453249925ec,2020-12-11 00:00:00.000,
,,,,496,,330031,,0,,2020-12-13 03:15:24.948,,2020-12-12 05:00:01.100,,,,60,19343,8,,,,371.53,,17.95,5358dda6-a6dd-4269-86b0-8ff5ce0e8131.extra_data.json,5vLahzXBCy,1200,com.sec.android.app.shealth,328831,27240000,5358dda6-a6dd-4269-86b0-8ff5ce0e8131,2020-12-12 00:00:00.000,
,,,,419,,279473,,0,,2020-12-14 05:00:00.983,,2020-12-13 05:00:00.705,,,,60,21344,6,,,,310.47995,,14.98,4cdd7cd2-9c9e-4eb9-a8ff-a2b21f84264d.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,279473,46680000,4cdd7cd2-9c9e-4eb9-a8ff-a2b21f84264d,2020-12-13 00:00:00.000,
,,,,1538,,1018479,,0,,2020-12-15 05:00:00.668,,2020-12-14 05:00:00.883,,,,60,60000,26,,,,1138.08,,57.189995,df41d755-2474-4a05-bef9-0b3bc5b8b1a3.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,1018479,44880000,df41d755-2474-4a05-bef9-0b3bc5b8b1a3,2020-12-14 00:00:00.000,
,,,,614,,409538,,0,,2020-12-16 04:50:29.931,,2020-12-15 05:00:00.537,,,,60,23345,10,,,,448.75003,,21.859999,d15876e1-f22d-40e6-9a5b-2ad4163a84f0.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,409538,34680000,d15876e1-f22d-40e6-9a5b-2ad4163a84f0,2020-12-15 00:00:00.000,
,,,,616,,410872,,0,,2020-12-17 04:21:38.572,,2020-12-16 05:00:01.740,,,,60,50692,10,,,,453.38004,,22.4,cd5ac7d5-f12f-4543-8301-db656946085c.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,410872,46500000,cd5ac7d5-f12f-4543-8301-db656946085c,2020-12-16 00:00:00.000,
,,,,2172,,1368504,,0,,2020-12-18 05:00:01.331,,2020-12-17 05:00:00.536,,,,60,240000,36,,,,1615.72,,80.19,ab93e5a6-03e9-4ad7-a2d2-7082b2801cdc.extra_data.json,5vLahzXBCy,0,com.sec.android.app.shealth,1368504,19800000,ab93e5a6-03e9-4ad7-a2d2-7082b2801cdc,2020-12-17 00:00:00.000,
,,,,2314,,1539004,,0,,2020-12-19 03:54:42.060,,2020-12-18 05:00:01.264,,,,60,60000,41,,,,1714.4404,,88.15001,a1ee7dee-6f41-469c-b21a-6452235dcff0.extra_data.json,5vLahzXBCy,3600,com.sec.android.app.shealth,1535404,42960000,a1ee7dee-6f41-469c-b21a-6452235dcff0,2020-12-18 00:00:00.000,
